,,,,,,,,,,,,,,,,,,,,,,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
,,,,,,,,,,,,,,,,,,,,,,NATIVE,ASIAN,BLACK,PACIFIC ISLANDER,WHITE,MULTI,UNK /,HISPANIC,NON,UNK /,WITH,W/ ONLY
County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+,AMERICAN,,,,,RACE,MISSING,,HISPANIC,MISSING,EARNED $,EARNED $
Navarro,Kerens,75144,202, $245.28 ," $49,546.00 ",462,223,201,38,976,366,456,155,515,143,255,117,47%,61%,44%,25%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Rice,75155,197, $304.27 ," $59,941.00 ",536,331,190,15,909,418,420,71,373,87,230,56,59%,79%,45%,21%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Corsicana,75109,126, $299.64 ," $37,755.00 ",325,181,128,16,647,174,320,153,329,0,192,137,50%,100%,40%,10%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Barry,75102,72, $321.67 ," $23,160.00 ",196,109,74,13,91,6,66,19,6,0,0,6,100%,100%,100%,70%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Corsicana,75110,2163, $249.42 ," $539,498.00 ",4851,2676,1907,268,9060,3942,4367,751,4209,1266,2460,483,54%,68%,44%,36%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Frost,76641,91, $212.59 ," $19,346.00 ",205,102,90,13,626,254,314,58,421,152,224,45,33%,40%,29%,22%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Chatfield,75105,8, $269.13 ," $2,153.00 ",20,12,7,1,48,0,4,44,43,0,0,43,41%,0%,100%,2%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Navarro,Richland,76681,28, $265.25 ," $7,427.00 ",68,34,31,3,144,41,101,2,77,7,70,0,47%,84%,31%,100%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Newton,Deweyville,77614,76, $266.68 ," $20,268.00 ",165,75,85,5,23,0,23,0,0,0,0,0,100%,0%,100%,0%,0,0.007462687,0.007462687,0,0.895522388,0,0.082089552,0.007462687,0.895522388,0.097014925,0.269230769,0.25
Newton,Burkeville,75932,82, $235.40 ," $19,303.00 ",171,72,82,17,323,62,155,106,162,0,73,89,53%,100%,53%,16%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
