County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Average Benefit per Recipient,Average Benefit per Meal ,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+
Bexar,San Antonio,78209,1073, $227.47 ," $244,076.00 ",2211, $110.39 , $1.23 ,1025,998,188,6338,1120,4367,851,4127,95,3369,663,35%,92%,23%,22%
Bexar,San Antonio,78279,21, $179.86 ," $3,777.00 ",35, $107.91 , $1.20 ,13,18,4,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78217,1787, $274.35 ," $490,262.00 ",4407, $111.25 , $1.24 ,2374,1868,165,7919,3142,4391,385,3511,768,2523,220,56%,76%,43%,43%
Bexar,San Antonio,78283,131, $192.73 ," $25,248.00 ",232, $108.83 , $1.21 ,87,121,24,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78254,884, $308.67 ," $272,861.00 ",2543, $107.30 , $1.19 ,1468,985,90,3274,1340,1849,85,864,0,864,0,78%,100%,53%,100%
Bexar,San Antonio,78211,3638, $269.07 ," $978,870.00 ",9168, $106.77 , $1.19 ,4942,3560,666,13034,5901,6129,1005,3867,959,2569,339,70%,84%,58%,66%
Bexar,Macdona,78054,40, $200.13 ," $8,005.00 ",76, $105.33 , $1.17 ,33,40,3,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78251,1604, $293.62 ," $470,969.00 ",4363, $107.95 , $1.20 ,2454,1740,169,6643,2489,3810,344,2280,35,2070,175,66%,99%,46%,49%
Bexar,San Antonio,78270,26, $221.08 ," $5,748.00 ",41, $140.20 , $1.56 ,11,29,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78219,1699, $274.66 ," $466,649.00 ",4286, $108.88 , $1.21 ,2351,1761,174,5445,2558,2656,231,1159,207,895,57,79%,92%,66%,75%
Bexar,San Antonio,78256,91, $202.79 ," $18,454.00 ",165, $111.84 , $1.24 ,64,90,11,1583,6,1567,10,1477,0,1477,0,10%,100%,6%,100%
Bexar,San Antonio,78227,4576, $292.72 ," $1,339,477.00 ",12304, $108.87 , $1.21 ,6929,4830,545,17199,8364,7906,929,4895,1435,3076,384,72%,83%,61%,59%
Bexar,San Antonio,78208,570, $237.81 ," $135,553.00 ",1195, $113.43 , $1.26 ,592,516,87,1865,658,1093,114,670,66,577,27,64%,90%,47%,76%
Bexar,San Antonio,78229,1984, $259.39 ," $514,637.00 ",4702, $109.45 , $1.22 ,2382,2142,178,10276,3031,6726,519,5574,649,4584,341,46%,79%,32%,34%
Bexar,San Antonio,78224,1655, $283.05 ," $468,453.00 ",4417, $106.06 , $1.18 ,2471,1715,231,5077,2390,2433,254,741,0,718,23,87%,100%,70%,91%
Bexar,San Antonio,78221,3461, $268.20 ," $928,249.00 ",8751, $106.07 , $1.18 ,4662,3553,536,12438,4932,6413,1094,3688,270,2860,558,70%,95%,55%,49%
Bexar,Universal City,78148,665, $267.50 ," $177,889.00 ",1661, $107.10 , $1.19 ,888,729,44,3574,1553,1754,268,1914,665,1025,224,46%,57%,42%,16%
Bexar,Converse,78109,1540, $294.38 ," $453,338.00 ",4385, $103.38 , $1.15 ,2493,1770,122,5528,1980,3220,328,1656,0,1450,206,79%,100%,55%,37%
Bexar,San Antonio,78222,1533, $274.83 ," $421,310.00 ",3884, $108.47 , $1.21 ,2120,1596,168,7167,3385,3151,631,3283,1265,1555,463,54%,63%,51%,27%
Bexar,San Antonio,78291,9, $179.67 ," $1,617.00 ",17, $95.12 , $1.06 ,7,10,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78242,3186, $320.46 ," $1,020,982.00 ",9314, $109.62 , $1.22 ,5559,3415,340,15924,8491,6820,613,6610,2932,3405,273,58%,65%,50%,55%
Bexar,San Antonio,78292,18, $102.39 ," $1,843.00 ",24, $76.79 , $0.85 ,6,15,3,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78296,8, $151.38 ," $1,211.00 ",16, $75.69 , $0.84 ,5,9,2,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78225,1261, $253.30 ," $319,410.00 ",2967, $107.65 , $1.20 ,1536,1171,260,5221,2210,2321,690,2254,674,1150,430,57%,69%,50%,38%
Bexar,San Antonio,78207,7716, $276.00 ," $2,129,624.00 ",18570, $114.68 , $1.27 ,10102,6995,1473,27969,11950,12920,3100,9400,1848,5925,1627,66%,85%,54%,48%
Bexar,San Antonio,78244,1719, $311.03 ," $534,665.00 ",5010, $106.72 , $1.19 ,2870,1997,143,7147,3285,3661,202,2138,415,1664,59,70%,87%,55%,71%
Bexar,San Antonio,78259,192, $294.64 ," $56,570.00 ",513, $110.27 , $1.23 ,279,201,33,887,306,542,40,375,27,341,7,58%,91%,37%,83%
Bexar,San Antonio,78202,1865, $278.62 ," $519,632.00 ",4392, $118.31 , $1.31 ,2349,1781,262,7470,3134,3813,522,3077,785,2032,260,59%,75%,47%,50%
Bexar,San Antonio,78260,201, $281.57 ," $56,595.00 ",489, $115.74 , $1.29 ,256,188,45,1035,308,603,124,546,52,415,79,47%,83%,31%,36%
Bexar,San Antonio,78288,1, $446.00 , $446.00 ,3, $148.67 , $1.65 ,2,1,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78228,5790, $269.74 ," $1,561,804.00 ",14373, $108.66 , $1.21 ,7704,5727,942,21711,8577,11007,2126,7337,873,5280,1184,66%,90%,52%,44%
